Victim,Word_label,Segment_label,Position_label,Plosion_label,Segment_duration,Max_time,Rise_time,START,END,DUR,COG_MID,SDEV_MID,SKEW_MID,KURT_MID,Dialect,Sex,Bi.mon,Age,Mean,Sd
3,poça,ç,med,y,0.152893766249093,151.444061056557,0.0367169788563046,151.407344077701,151.485116839198,0.0777727614971013,6373.80520201643,2287.20761220897,0.175161759641057,-0.926457986955257,G,1,1,31,96.4285714285714,18.8982236504613
3,fuçi,ç,med,y,0.14966955591953,171.389645675143,0.0373142116307577,171.352331463512,171.45855878838,0.106227324867945,5782.0059320447,2286.88210067141,0.728777620447017,-0.383511052620503,G,1,1,31,96.4285714285714,18.8982236504613
3,çan,ç,on,y,0.0759005043592538,198.779116377766,0.0323932458994136,198.746723131867,198.822623636226,0.0759005043592538,4636.05302743927,1574.80284221645,1.28807182603948,3.02829005282389,G,1,1,31,96.4285714285714,18.8982236504613
3,poqa,q,med,n,0.12835724617679,203.964598362543,0.0550876461228995,203.90951071642,204.037867962597,0.12835724617679,3998.9911592911,1359.01380611547,2.19217849787969,7.69734050138602,G,1,1,31,96.4285714285714,18.8982236504613
3,quk,q,on,y,0.116962866730546,223.630988239481,0.0377289911189393,223.593259248362,223.710222115093,0.116962866730546,3494.85528161451,1335.65072059371,2.35132505529909,6.91184394466076,G,1,1,31,96.4285714285714,18.8982236504613
3,çorri,ç,on,y,0.073948403057301,226.302743075231,0.0374767226778658,226.265266352553,226.339214755611,0.073948403057301,4424.04382240795,1409.92501828525,1.74499335376332,4.62109871392373,G,1,1,31,96.4285714285714,18.8982236504613
3,çuk,ç,on,y,0.0860846907008863,228.631429892283,0.0172986361397705,228.614131256143,228.700215946844,0.0860846907008863,4388.03257104153,2003.23008270868,1.19999388905828,1.16417859567917,G,1,1,31,96.4285714285714,18.8982236504613
3,qorri,q,on,y,0.0898952491638738,261.214858718368,0.0274383800282294,261.18742033834,261.277315587504,0.0898952491638738,3575.11290104774,1426.00188426512,2.0674822182102,6.64508526128572,G,1,1,31,96.4285714285714,18.8982236504613
3,qaj,q,on,n,0.101244511260973,278.032202555595,0.0489082968290973,277.983294258766,278.084538770027,0.101244511260973,3505.39910442988,890.532074688355,3.57165580867899,26.5914247330808,G,1,1,31,96.4285714285714,18.8982236504613
3,fuqi,q,med,n,0.175308273345934,283.19138603741,0.119222588929858,283.072163448481,283.247471721827,0.175308273345934,3750.52537977065,1089.4851251832,2.63402605646067,8.83641502263565,G,1,1,31,96.4285714285714,18.8982236504613
3,çan,ç,on,y,0.0852563997049174,285.525717791654,0.0378331732723609,285.487884618382,285.573141018087,0.0852563997049174,5606.25702637867,1799.48694507512,0.0328847889512301,1.13010392766328,G,1,1,31,96.4285714285714,18.8982236504613
3,çaj,ç,on,y,0.0862585030536138,310.55637886543,0.0261011789503414,310.53027768648,310.616536189534,0.0862585030536138,4998.68060058336,2004.14732458928,0.285570654529801,0.505157701330873,G,1,1,31,96.4285714285714,18.8982236504613
3,qan,q,on,y,0.135633844599795,325.568994397449,0.0678124899704926,325.501181907479,325.636815752079,0.135633844599795,3744.7192986963,1100.8102459564,2.05517590056934,6.36436035352386,G,1,1,31,96.4285714285714,18.8982236504613
3,çorri,ç,on,y,0.0716159965172665,335.526094296059,0.0265191433616678,335.499575152697,335.571191149215,0.0716159965172665,5163.04079561901,1845.57046236787,0.431828305525271,0.98965203752007,G,1,1,31,96.4285714285714,18.8982236504613
3,quk,q,on,y,0.104202150499191,350.506339806178,0.0435164523172489,350.462823353861,350.56702550436,0.104202150499191,3453.07418199714,1350.60642653343,1.80865376274855,3.60729817773711,G,1,1,31,96.4285714285714,18.8982236504613
3,qorri,q,on,n,0.0989639275751415,363.097981466366,0.042588075487572,363.055393390878,363.154357318453,0.0989639275751415,3380.23716830964,1163.62646311691,2.05458401917706,5.61507667645749,G,1,1,31,96.4285714285714,18.8982236504613
3,poça,ç,med,y,0.17550977748698,373.323628018202,0.0266332880941036,373.296994730108,373.406984290511,0.109989560403051,5411.34017246877,2198.10005256663,0.348764785079199,-0.412410979506887,G,1,1,31,96.4285714285714,18.8982236504613
3,qarë,q,on,n,0.0835900361560107,390.569858650314,0.0336568362547496,390.536201814059,390.619791850215,0.0835900361560107,3457.93365625487,1376.12627739913,2.55325982748632,8.10320082464301,G,1,1,31,96.4285714285714,18.8982236504613
3,çuk,ç,on,y,0.101086804030672,418.033884257777,0.0169180179669866,418.01696623981,418.118053043841,0.101086804030672,4351.99499820709,1771.68217738941,1.35800464960782,1.58547905585368,G,1,1,31,96.4285714285714,18.8982236504613
3,poqa,q,med,n,0.140198826721701,433.553944076496,0.0575779015955504,433.4963661749,433.602192932729,0.105826757828595,4019.11136217741,1361.4068124131,2.18183164871628,6.64299784593938,G,1,1,31,96.4285714285714,18.8982236504613
3,fuçi,ç,med,y,0.158061857676898,438.155118707469,0.0214966814103263,438.133622026059,438.255018216492,0.121396190432733,5826.95468269273,1960.66293924097,0.506093940680682,0.238728989328916,G,1,1,31,96.4285714285714,18.8982236504613
3,çarë,ç,on,y,0.0908187731968724,448.055997656841,0.0221137816824353,448.033883875158,448.124702648355,0.0908187731968724,4533.06057959926,1684.24366496129,0.782357628079921,2.7020065789856,G,1,1,31,96.4285714285714,18.8982236504613
4,qorri,q,on,n,0.100225477798077,73.4479065510674,0.0518596415060557,73.3960469095614,73.4962723873595,0.100225477798077,3945.39040831718,1517.61196769368,0.842175872710809,1.35772367657313,G,1,1,18,96.4285714285714,18.8982236504613
4,poqa,q,med,n,0.156330490310836,76.2218829888255,0.0338665444264308,76.1880164443991,76.2760352320033,0.0880187876041418,4302.99127447162,1610.91129780102,0.713143204334709,1.58798731686911,G,1,1,18,96.4285714285714,18.8982236504613
4,fuçi,ç,med,y,0.218939797004552,96.2077405293329,0.0812240290560027,96.1265165002768,96.2624370814769,0.135920581200082,6990.73438113852,1910.17314237029,-0.03553182872566,-0.177307117499141,G,1,1,18,96.4285714285714,18.8982236504613
4,fuqi,q,med,n,0.212781579901829,118.695218478239,0.0773315545806099,118.617886923658,118.753062271618,0.135175347959418,4060.18411848664,1462.18454906684,1.40405160571411,2.18887948955291,G,1,1,18,96.4285714285714,18.8982236504613
4,poça,ç,med,y,0.180886436943979,134.189425684926,0.0438869366921324,134.145538748234,134.235454432785,0.0899156845514426,4879.34273191118,1702.37832590897,1.28086021239613,1.81221557452385,G,1,1,18,96.4285714285714,18.8982236504613
4,qan,q,on,n,0.112664254512339,148.500409735757,0.0665722113968172,148.43383752436,148.546501778872,0.112664254512339,3934.74433948177,1383.07117557974,1.21697644538987,1.29323995680813,G,1,1,18,96.4285714285714,18.8982236504613
4,çaj,ç,on,y,0.0918428728961374,158.714504581454,0.0337287820534584,158.6807757994,158.772618672296,0.0918428728961374,5412.99289340478,1656.47706790262,0.717297014087737,1.3218656959289,G,1,1,18,96.4285714285714,18.8982236504613
4,qaj,q,on,n,0.112929495869878,160.98835039976,0.0620039158772272,160.926346483882,161.039275979752,0.112929495869878,3714.48503024284,1403.57839508928,1.54238207671325,2.08576839325247,G,1,1,18,96.4285714285714,18.8982236504613
4,çuk,ç,on,y,0.0805528240192359,165.898430888844,0.0176365230500437,165.880794365794,165.961347189814,0.0805528240192359,6522.63231531471,1893.88934540074,-0.34296752554676,-0.525298813520573,G,1,1,18,96.4285714285714,18.8982236504613
4,çarë,ç,on,y,0.09128485224835,173.448545844557,0.0369091119547988,173.411636732602,173.50292158485,0.09128485224835,4939.45942675671,1456.85280873093,1.40715099436736,2.57224945715684,G,1,1,18,96.4285714285714,18.8982236504613
4,qarë,q,on,n,0.138893680404266,175.921535452713,0.0987844628520804,175.822750989861,175.961644670265,0.138893680404266,4017.87357874014,1441.50435548082,1.02909265135015,1.17798363095745,G,1,1,18,96.4285714285714,18.8982236504613
4,quk,q,on,n,0.106412416982238,213.381301594582,0.0620956425624115,213.31920595202,213.425618369002,0.106412416982238,3542.23962212471,1581.53811146578,1.83290469047243,2.99965359313993,G,1,1,18,96.4285714285714,18.8982236504613
4,çan,ç,on,y,0.0850593113302409,216.224868409108,0.0412093135351199,216.183659095573,216.268718406903,0.0850593113302409,6129.01068160693,1783.33874500272,0.486656764339011,0.444502621427098,G,1,1,18,96.4285714285714,18.8982236504613
4,çorri,ç,on,y,0.10603416762342,236.060197106156,0.0482608429399534,236.011936263216,236.117970430839,0.10603416762342,4889.29098558667,1654.32065789631,1.03250731953001,0.460956756552326,G,1,1,18,96.4285714285714,18.8982236504613
4,qarë,q,on,n,0.102745352031036,276.787832662093,0.048815490932725,276.73901717116,276.841762523191,0.102745352031036,3687.00758142174,1330.57548386486,1.55726259630085,2.63585749053064,G,1,1,18,96.4285714285714,18.8982236504613
